data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"20/01/2010";"12:02:00";"79";"sem vítima";"286";"BR-393/RJ";" Sul";"Abalroamento longitudinal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"20/01/2010";"11:09:00";"122";"com vítima";"243";"BR-393/RJ";" Norte";"Capotamento";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"21/01/2010";"02:10:00";"15";"com vítima";"203";"BR-393/RJ";" Norte";"Capotamento";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"22/01/2010";"08:15:00";"51";"sem vítima";"120";"BR-393/RJ";" Norte";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;6;0;0;0;0
"22/01/2010";"08:28:00";"52";"sem vítima";"114.1";"BR-393/RJ";" Sul";"Derrapagem";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"22/01/2010";"08:28:00";"53";"com vítima";"153.9";"BR-393/RJ";" Sul";"Queda de moto";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"22/01/2010";"10:39:00";"131";"com vítima";"122.5";"BR-393/RJ";" Sul";"Derrapagem";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"23/01/2010";"12:54:00";"6";"sem vítima";"286";"BR-393/RJ";" Sul";"Colisão frontal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"24/01/2010";"12:47:00";"58";"com vítima";"147.2";"BR-393/RJ";" Norte";"Capotamento";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"24/01/2010";"02:01:00";"66";"sem vítima";"281";"BR-393/RJ";" Sul";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;4;0;0;0;0
"25/01/2010";"12:08:00";"1";"sem vítima";"203";"BR-393/RJ";" Norte";"Atropelamento de animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
