data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"19/10/2014";"06:34:00";"31";"com vítima";"758.8";"BR-163/MS";"Norte";"Saídas de pista";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"19/10/2014";"08:23:00";"47";"com vítima";"266";"BR-163/MS";"Sul";"Colisão lateral no sentido contrário";1;0;0;1;0;0;0;0;0;0;1;2;0;0;0
"19/10/2014";"05:25:00";"153";"com vítima";"419";"BR-163/MS";"Norte";"Colisão com veículos (traseira)";2;0;0;0;0;0;0;0;0;0;1;3;0;1;0
"19/10/2014";"07:53:00";"176";"com vítima";"771";"BR-163/MS";"Sul";"Saídas de pista";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"19/10/2014";"08:48:00";"185";"sem vítima";"747";"BR-163/MS";"Sul";"Colisão lateral no mesmo sentido";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"19/10/2014";"09:34:00";"192";"com vítima";"78";"BR-163/MS";"Sul";"Atropelamento - Pedestre";1;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"20/10/2014";"05:29:00";"10";"sem vítima";"136";"BR-163/MS";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"20/10/2014";"10:09:00";"57";"sem vítima";"359";"BR-163/MS";"Norte";"Colisão com veículos (traseira)";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"20/10/2014";"03:23:00";"200";"com vítima";"605";"BR-163/MS";"Sul";"Atropelamento - Pedestre";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"20/10/2014";"05:00:00";"132";"sem vítima";"454";"BR-163/MS";"Sul";"Colisão com veículos (traseira)";1;0;0;0;0;1;0;0;0;0;5;0;0;0;0
"21/10/2014";"04:48:00";"39";"sem vítima";"330";"BR-163/MS";"Sul";"Colisão com veículos (frontal)";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"21/10/2014";"07:57:00";"69";"com vítima";"476.32";"BR-163/MS";"Norte";"Colisão com veículos (traseira)";1;0;0;0;0;1;0;0;0;0;2;2;0;0;0
"21/10/2014";"09:10:00";"88";"sem vítima";"642";"BR-163/MS";"Sul";"Colisão lateral no sentido contrário";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"22/10/2014";"01:22:00";"13";"sem vítima";"471";"BR-163/MS";"Sul";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"22/10/2014";"02:56:00";"148";"com vítima";"466";"BR-163/MS";"Sul";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"22/10/2014";"03:27:00";"154";"sem vítima";"312.5";"BR-163/MS";"Sul";"Saídas de pista";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
